timestamp,userid
2018-01-01T11:00:00Z,u1
2018-01-01T12:00:00Z,u1
2018-01-01T11:00:00Z,u2
2018-01-01T11:29:00Z,u2
2018-01-02T11:00:00Z,u2
2018-01-02T11:25:00Z,u2
2018-01-01T12:15:00Z,u1
2018-01-01T12:30:00Z,u1
2018-01-02T11:50:00Z,u2
2018-01-02T12:19:00Z,u2
2018-01-02T12:30:00Z,u2
2018-01-01T14:59:00Z,u1
2018-01-01T15:19:00Z,u1
2018-01-01T15:45:00Z,u1
2018-01-01T16:10:00Z,u1
2018-01-01T16:35:00Z,u1
2018-01-01T16:59:00Z,u1
2018-01-01T16:59:00Z,u1
2018-01-01T17:00:00Z,u1
2018-01-01T17:25:00Z,u1
2018-01-01T17:49:00Z,u1
2018-01-02T17:25:00Z,u1
2018-01-02T17:49:00Z,u1
